""|"label"|"predicted"|"60"
"0"|"statement"|"statement"|"Come on Saturday, a friend in the know said, because that's when the French chef cooks."
"1"|"statement"|"statement"|"It's right across the road when we got out of Mustafa and decided to try the restaurant on a whim."
"2"|"statement"|"statement"|"We headed downstairs after about 20 minutes when we'd had enough of the scene upstairs and took a table right at the edge of the water."
"3"|"statement"|"statement"|"Although that is not what I look forward to so much these days, it does bring back fond memories."
"4"|"statement"|"statement"|"The waitress handling the bill went to get a senior person, presumably the manager, who could only say 'he can't help us' flatly without leaving room for any discussion."
"5"|"statement"|"statement"|"People who know me would know that I don't give five stars very easily."
"6"|"statement"|"statement"|"I mean, food tastes good, but is far away from spectacular, and that's when Epicurious starts losing points."
"7"|"statement"|"statement"|"Rempah Ayam Savoury glutinous rice roll with chicken floss paste Interestingly the chicken paste was on top of the rice roll, instead being wrapped inside as what was commonly found."
"8"|"statement"|"statement"|"This is the quintessential posh and good French restaurant where you have a pay a pretty penny and get amazing food, service and ambience."
"9"|"statement"|"statement"|"I've had the chance to see the SSO perform in the Esplanade Concert Hall three times this season (in a wide range of seats), and what a great venue it is!"
"10"|"statement"|"statement"|"but i try..............  cones, waffles and cups which will i choose from here when will i stop i believe your ice cream brought me here and we should be together, babe you're cold but hot  i play it off, but I'm dreaming of you and I'll keep my cool, but I'm feinding  i try to say goodbye and I choke try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near  goodbye and I choke i try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near  i may appear to be free but I'm just a prisoner of your flavours and I may seem all right and smile when you melt but my smiles are just a front just a front, hey  i play it off, but I'm dreaming of you and I'll keep my cool, but I'm feinding  i try to say goodbye and I choke try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near  goodbye and I choke i try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near  here is my confession may you be my possession boy, I need you much yuzu, granny's, WTFudge with all my might I try but this I can't deny, deny  i play it off, but I'm dreaming of you but I'm dreaming of you babe i'll keep my cool, but I'm feinding  i try to say goodbye and I choke try to walk away and I stumble though I try to hide, it's clear my world crumbles when you are not there  goodbye and I choke i try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near  goodbye and I choke i try to walk away and I stumble though I try to hide it, it's clear my world crumbles when you are not near"
"11"|"statement"|"statement"|"Yowza - the buffet is probably second best to what I've had at the Shangra-La in Shanghai."
"12"|"statement"|"statement"|"Shunjuu is a good place for sumiyaki in Robertson Quay and reservations are absolutely essential, although it's prolly a lot easier to walk in here than Kazu, something we have done when Kazu's two seatings are full."
"13"|"statement"|"statement"|"The only complaint is that it had whole cloves in the rice, which added to the flavor but we're difficult to avoid when chowing down (however I will chock this up to my American tendencies)."
"14"|"statement"|"statement"|"Waving frantically when they looked vaguely in our direction was probably the only way to get their attention."
"15"|"question"|"question"|"Our waitress who smiles like she's having tooth pain was serving us the wrong dish but she seemed like she doesn't want to serve us the right dish  Do you still want your dish?"
"16"|"rhetoric"|"question"|"Ask for soy sauce and you get the most miniscule serving to share amongst diners, water is not readily served, and when we turned up with a birthday cake and asked them to bring it out for us later, they just put it right next to the birthday girl about a minute later rather than keeping it hidden away...?"
"17"|"statement"|"statement"|"I am attracted to overall dark ambience with huge swordsman pictures and their open kitchen when I arrived."
"18"|"statement"|"statement"|"I would not seek it out if I was not nearby, but it's got most of what you would expect!"
"19"|"statement"|"statement"|"I guess this is part of their service to diners who sit at the booths which I feel was adequate for one person to slide in, slowly."
"20"|"statement"|"statement"|"They are hiring a waiter staff (18-25 year old girl) who doesn't know customer service at all, well doesn't really speak English (possibly she is an English school student)."
"21"|"statement"|"statement"|"It would be a different story if this was Potato Head in Bali where you're captive in one club without other food options, but there are plenty of nearby eateries where you could get better bang for your buck."
"22"|"statement"|"statement"|"I came right when they opened, because I knew there'd be a long line."
"23"|"statement"|"statement"|"This is quite unlike most grill restaurants where sides are limited and predictable."
"24"|"statement"|"statement"|"I think the berry compote and the fresh fruits is what made the dish."
"25"|"statement"|"statement"|"In fact, there have been many occasions where I've found myself running back and forth through the Fullerton Hotel - One Fullerton underground pass panting because I confused Jing for Jade and Jade for Jing."
"26"|"statement"|"statement"|"for those who don't, here is your chance to get acquainted with one."
"27"|"statement"|"statement"|"Not sure what it was, but really interesting practice!"
"28"|"statement"|"statement"|"Although sitting by the road, near a cow grass patch wasn't exactly the ambiance I had in mind when dining at a French restaurant..."
"29"|"statement"|"statement"|"Stefan, who runs the front of the house, is good at gauging the mood of each group of diners, and if you're there for a romantic evening with your significant other he'll keep his space and interrupt you as little as possible, but if you're there with a group then he'll be more talkative, give longer explanations of the dishes and the chef's approach, etc."
"30"|"statement"|"statement"|"The selection is not overwhelming but what they have is all of good quality."
"31"|"statement"|"statement"|"It doesn't feel like your in a laboratory but they use utensils like syringes to add on to your drinks (depends on what you order)."
"32"|"statement"|"statement"|"As you take the lift up to the rooftop where Mr Punch is located, an interesting string of words on the lift door greets you."
"33"|"statement"|"statement"|"It just got tougher because I was recently in Phuket, where the bar just kept getting higher!"
"34"|"statement"|"statement"|"The restaurant is primarily aimed at vegetarians but will veganize even the set menu when asked."
"35"|"statement"|"statement"|"Quite simply, the modus here is: you sit, they tell you what to order, you eat, you leave."
"36"|"statement"|"statement"|"Try chatting up with the owner if you visit the next time, he's a wonderful gent with a well informed viewpoint on food & life...& throbbing passion for what he does."
"37"|"statement"|"statement"|"Went there one night and over ordered as usual (a consistent trend when I have Thai meals)."
"38"|"statement"|"statement"|"We were attended to promptly when we had requests, but the waitress forgot to introduce our dishes at least once and when she did introduce them, she forgot some of the names and said things like err something like shellfish one."
"39"|"statement"|"statement"|"Oh, before I forget, the Coopers Pale tasted a little different, not like what I am used to back home, but still, it was cool."
"40"|"statement"|"statement"|"They have a very unique consistency somewhat reminiscent of what one might use for inseminating the *other* kind of egg."
"41"|"statement"|"statement"|"Would recommend this place particularly to anyone who wants to give overseas guest a uniquely Singaporean seafood experience."
"42"|"statement"|"statement"|"In fact, decor is a key draw here.I was instantly attracted to the eclectic settings when I stepped in."
"43"|"statement"|"statement"|"There was no queue today when I arrived at 3pm."
"44"|"statement"|"statement"|"No need to queue and you are guaranteed a table when you arrive!"
"45"|"statement"|"statement"|"Even when we came early and it literally almost empty, the lady said there is only two tables open."
"46"|"statement"|"statement"|"I had never had a dish this magnificent from what looks like risotto, and savored every bite."
"47"|"statement"|"statement"|"In general, most things are overpriced for what they are."
"48"|"statement"|"statement"|"I don't care that the service sucked, I don't care that it was in a hot hawker center, I don't care that there are tons of tourists, I don't care about long lines, what I always care about is the TASTE, and I've honestly had better."
"49"|"statement"|"statement"|"I thought it was pretty shocking that you were allowed to throw your peanut shells on the floor - the only place in Singapore where littering is encouraged."
"50"|"statement"|"statement"|"The live music wasn't what you would expect at a bar either - rotating between Hokkien, Mandarin, Cantonese, Thai, English.. some with accompanying dancers..."
"51"|"statement"|"statement"|"Including 'hot as shit' chicks wings..  For entertainment they have a 'beer pong' table, and that's where the real fun begins..."
"52"|"statement"|"statement"|"Service was excellent as the waitress could elaborate on the type of dishes when we placed our orders."
"53"|"statement"|"statement"|"Then I knew what it's supposed to really taste like."
"54"|"statement"|"statement"|"Pandan is what makes up a lot of the kaya spread...and by golly it's amazing."
"55"|"question"|"question"|"And what the hell have raw tuna to do with German food?"
"56"|"statement"|"statement"|"Those who love long waits and inattentive service would disagree with my rating, but those who have a life and don't enjoy waiting around unnecessarily for their lukewarm dishes might think my two star rating to be a bit generous."
"57"|"statement"|"statement"|"Yong Xiang XIng is one of those hawkers that have made it and who do something so well they only work limited hours."
"58"|"statement"|"statement"|"The kebab platter or rack of lamb, beyti kebab, shish tawouk or adana kebab are my go to options when it comes to ordering food."
"59"|"statement"|"statement"|"The service was mostly bad: when we ordered, the waiter offered some useful information, but was otherwise entirely inattentive."
"60"|"statement"|"statement"|"So sorry to the person who got jipped with my burger."
"61"|"statement"|"statement"|"This ramen spot is definitely a little close in quarters, as you can basically hear what the table next to you is saying--and there's never enough room for the servers to squeeze by the other tables to get to yours...so we had to tell our server our orders across the other table."
"62"|"statement"|"statement"|"The older gentleman who takes your order at the front counter is very helpful and friendly, and patiently explains and recommends different dishes."
"63"|"statement"|"statement"|"What a beautiful property, wonderful management who was very understanding of our needs and cultural differences, and fantastic workers - even down to the baggage check men with whom I had wonderful discussions."
"64"|"statement"|"statement"|"Brewerkz was the microbrewery back when everybody still drank bottled beer like it was the shit."
"65"|"statement"|"statement"|"Ahh I remember the sensation Saveur was when it first opened at Far East, and the queues one had to endure."
"66"|"statement"|"statement"|"I'd died and gone to wino heaven when I saw the beautiful shelves of wine from around the world at very reasonable prices."
"67"|"statement"|"statement"|"Plus, the cocktails here are not to be missed for those who loves drinking."
"68"|"statement"|"statement"|"I finished my cup of coffee and was taking a call when one of the staff approached to clear me cup."
"69"|"statement"|"statement"|"She commented their sauce tasted like what I made at home!"
"70"|"statement"|"statement"|"Ribeye - pricey at $98 but the most perfect cut of meat I've had in awhile Au Petit Salut Assiette - a great entree to share, especially if you're a fan of parfaits   What I didn't like:  The Soya cheesecake - definitely not to the standard of a french style cheesecake, it was watery and lacked flavour."
"71"|"statement"|"statement"|"Jumbo Kebap Combo $38.90 The Jumbo Kebap Combo is great for those that love their meat but can't quite decide what to get."
"72"|"statement"|"statement"|"The temperature of the pizza was not too warm when served that both my friend and I could straightaway bite on it after taking pictures."
"73"|"statement"|"statement"|"From what I read, the owner of this newly renovated stall is Uncle Law who has been frying these for nearly 50 years."
"74"|"statement"|"statement"|"It took a while for the sandwiches to be ready, but all good things come to those who wait."
"75"|"statement"|"statement"|"Was curious as to what these green-coloured concoctions, resemblance of a rice salad that everyone eats in one of the aisles of Lau Pa Sat."
"76"|"statement"|"statement"|"It's very peppery and bold in flavor, which is why I prefer it compared to the others."
"77"|"statement"|"statement"|"I was surprised when I learned that the food has no onions or garlic."
"78"|"statement"|"statement"|"Find another country, anyone who has spent more than a day or two knows you can not look out of Singapore without seeing the ships, that is the nature of the country and the busy port."
"79"|"statement"|"statement"|"I do wonder what the ice is made of."
"80"|"statement"|"statement"|"So I immediately jumped in the line, not even knowing what kind of food they offer."
"81"|"statement"|"statement"|"For those who enjoy another level of fries fried using truffle oil, truffle fries are also one of their best seller."
"82"|"statement"|"statement"|"Kai Garden is helmed by Chef Fung Chi Keung, the one who created the colorful Xiao Long Baos at Taste Paradise."
"83"|"statement"|"statement"|"The atmosphere was hopping with music cranked and patrons enjoying what appeared to be a game of beer pong."
"84"|"statement"|"statement"|"Way overpriced for what you get, service is terrible and the place will be closed in less than a year."
"85"|"statement"|"statement"|"I cannot praise this place high enough, deciding to walk and take the back streets too our destination I had started to loose faith we were heading anywhere, and when we followed the small sign out the back down an alley I was dubious...  Thankfully you open the door on the coolest sake bar in town and are able to grab a drink of one if their more unique cocktails or select from the bar menu."
"86"|"statement"|"statement"|"When I asked for a medium rare burger, I finally got what I had never gotten in this city-state, a medium rare burger."
"87"|"statement"|"statement"|"gives you e strength to fight back when u r attacked by e 'zzz' monster."
"88"|"statement"|"statement"|"I am really picky about my soba since I have been to Japan many times for work and fun and I know what it's supposed to taste like."
"89"|"statement"|"statement"|"Wish I had tried this place sooner when I worked at the area."
"90"|"statement"|"statement"|"Yet when I left there were still only 3 other tables."
"91"|"statement"|"statement"|"The food was great and I tried tripe for the first time (I really wouldn't have tried it unless I didn't know what it was), so that made me feel really adventurous and all the food was really good!"
"92"|"statement"|"statement"|"Service was very quick, the wine we ordered was always topped up when needed, and we genuinely felt very well-treated."
"93"|"statement"|"statement"|"I don't care what anyone says, the chef here is just brilliant!!!"
"94"|"statement"|"statement"|"This review is basically for the Sweet Spot stall, and the fourth star is for them being open when I needed them (yes, it is possible to *need* dessert)."
"95"|"statement"|"statement"|"That was the only reason why we decided to eat here because there was a table readily available."
"96"|"statement"|"statement"|"a MUST try seafood restaurant when in Singapore!"
"97"|"statement"|"statement"|"To me, what I loved about Teppei is getting to try new ingredients in small servings within a reasonably priced omakase set menu."
"98"|"statement"|"statement"|"to see what others were eating, and i totally should have gotten a rice plate."
"99"|"statement"|"statement"|"They have a small cafe where you can dine in and have coffee as well."
"100"|"statement"|"statement"|"You can also tell from the reviewers in this website that most of the diners (and people who view the place favorably) are westerners who had just moved in to town and obviously are primed for being chopped."
"101"|"statement"|"statement"|"Well I'm overdue for a review post (it's been A WEEK) so why not work backwards."
"102"|"statement"|"statement"|"Quantity small but at least you are assured that what goes into your mouth and stomach is good quality food."
"103"|"statement"|"statement"|"Otherwise, sure why not - it's just another mall you can hang out it."
"104"|"statement"|"statement"|"Nice place to go to, where you will not feel stressed out getting to."
"105"|"statement"|"statement"|"They take a week on average to get done, and if they're anything like what my friend's got, I'd be super pleased!"
"106"|"statement"|"statement"|"It's a convenient place to sit down and have a meeting when you don't care too much about your food."
"107"|"statement"|"statement"|"I wanted to see what all the hype was about."
"108"|"statement"|"statement"|"it was when we were trying to finish a dish of polenta with gorgonzola and mushrooms, that it struck me how immensely rich everything was, and how easily it can be unbalanced."
"109"|"statement"|"statement"|"Lighting has the right level of glow so that you can still enjoy a romantic setting if that's what you're looking for."
