statement	label	source
Where can i get good nasi lemak at toa payoh?	question	wesley
I'm looking for a tonkatsu or yakitori place in bras basah?	question	wesley
Recommend where to go for nasi biryani	question	wesley
Where can I get french food at HarbourFront	question	wesley
Any good coffee place at tanjong pagar?	question	wesley
I would like to have fish head curry today	question	wesley
I have been to that place before please recommend another one	question	wesley
That place is overrated suggest another one	question	wesley
Any other recommendations as that place is overpriced	question	wesley
How is the weather today?	question	wesley
Is the place open today	question	wesley
What is the time now	question	wesley
Are you a bot	question	wesley
What is your name?	question	wesley
What do you do for a living	question	wesley
I would like to go for japanese food today	question	wesley
Thank you for the food recommendations	statement	wesley
I like that place	statement	wesley
The food there was not nice	statement	wesley
The place is overrated	statement	wesley
That place is too far from here	statement	wesley
Have a good day	statement	wesley
Gosh it's raining now	statement	wesley
I like to talk to bots	statement	wesley
Nice talking to you	statement	wesley
Goodbye	statement	wesley
Good morning	statement	wesley
Restaurant Andre is in the list of top 50 restaurants in the world	statement	wesley
Singapore has the cheapest place with a Michelin star	statement	wesley
I used to stay at Toa Payoh	statement	wesley
The MRT is breaking down so often these days	statement	wesley
Food prices are going to rise this year with the hike in water prices	statement	wesley
Real stay top with Leganes win	statement	wesley
Barca thump Sevilla yesterday night	statement	wesley
LOL	statement	wesley
where can i find good Indian food?	question	brij
where can i find good Indian chicken near Tampines?	question	brij
What are good Japanese restaurants near Raffles?	question	brij
What to have with chicken?	question	brij
Where can i find Irish Coffee?	question	brij
Which can i find cheap coffee?	question	brij
Where should i go fo healthy morning brekfast?	question	brij
What are good cafes in Tampines?	question	brij
Could you suggest soem restaurants with good vibe?	question	brij
What are the mexican serving restaurants?	question	brij
I am Tampines	statement	brij
I like coffee	statement	brij
I want to eat chicken with Indian spices	statement	brij
Mexican food is my favourite	statement	brij
Suggest a mexican restaurant near Orchard	statement	brij
I want a restaurat with quite ambience	statement	brij
I like vegetarian food	statement	brij
I like non-vegetarian food	statement	brij
Suggest a cheap restaurants near Orchard	statement	brij
You are a fool	statement	brij
Where can I find the best prata? 	question	kahling
Are you sure this is the best chicken rice? 	question	kahling
are you a foodie? 	question	kahling
How sure are you? 	question	kahling
what is nice around CBD? 	question	kahling
whats nice and within $10 in CBD? 	question	kahling
who are you? 	question	kahling
can i trust you? 	question	kahling
when is the best time to go for lunch in CBD? 	question	kahling
when is the restaurant open? 	question	kahling
what is the opening hours? 	question	kahling
do they have any promotions? 	question	kahling
how do i qualify for the promotion? 	question	kahling
which credit card qualifies for the promotion? 	question	kahling
are you kidding me? 	question	kahling
is this your best recommendation? 	question	kahling
has anyone told you your recommendation sucks? 	question	kahling
do you know of any late night places in CBD? 	question	kahling
Wheres somewhere with good food and ambience? 	question	kahling
what type of food do they serve? 	question	kahling
is it halal? 	question	kahling
im supposed to trust a bot? 	question	kahling
youre a female, arent you? 	question	kahling
may i know your name? 	question	kahling
will you be my friend? 	question	kahling
can you be more relevant? 	question	kahling
seriously? 	question	kahling
why did i even ask you? 	question	kahling
whats the meaning of life? 	question	kahling
do you sense my sarcasm? 	question	kahling
do you have any friends? 	question	kahling
isnt it lonely out there? 	question	kahling
where are you located? 	question	kahling
whats wrong with you!? 	question	kahling
hows your day? 	question	kahling
seriously? 	question	kahling
if i speak nicely to you, will you provide me with better recommendations? 	question	kahling
can you do better? 	question	kahling
youre not!? 	question	kahling
i like the Dark Knight, do you? 	question	kahling
whats your favourite food? 	question	kahling
cant you do anything right? 	question	kahling
why not? 	question	kahling
you think im dumb, dont you? 	question	kahling
do you ever wonder about the universe? 	question	kahling
can i ask you a question? 	question	kahling
why is the sky blue? 	question	kahling
how many languages do you speak? 	question	kahling
dont you think so? 	question	kahling
arent you glad that this is coming to an end? 	question	kahling
you can do better 	statement	kahling
seriously 	statement	kahling
you suck! 	statement	kahling
get a life 	statement	kahling
you need more training 	statement	kahling
i need more options	statement	kahling
tell me a joke 	statement	kahling
youre fired! 	statement	kahling
hahaha what a joke! 	statement	kahling
why so serious? 	statement	kahling
you must be kidding 	statement	kahling
i wonder about your existence ..	statement	kahling
describe your location 	statement	kahling
i love you! 	statement	kahling
you seriously didnt sense my sarcasm ..	statement	kahling
argh!!!! 	statement	kahling
goodbye! 	statement	kahling
bye 	statement	kahling
i had a lousy day 	statement	kahling
please be nice 	statement	kahling
im not impressed 	statement	kahling
hey 	statement	kahling
i want to eat bak kut teh 	statement	kahling
nice brunch places, please 	statement	kahling
i am sure you can do better 	statement	kahling
youre just a bot 	statement	kahling
life is like a box of chocolate ..	statement	kahling
mine has milk chocolates only 	statement	kahling
i bet you had a much better day than me 	statement	kahling
your recommendations dont suit me 	statement	kahling
the recommendations are not relevant 	statement	kahling
those are not bak kut teh! 	statement	kahling
i said prata! 	statement	kahling
youre definitely not local 	statement	kahling
youre not familiar with the local scene 	statement	kahling
my friend said that youre pretty useful 	statement	kahling
but i beg to differ 	statement	kahling
although you look and sound cool, youre just another bimbo 	statement	kahling
you are crazy, just like the rest of us 	statement	kahling
i cant go with your recommendations! 	statement	kahling
those are not relevant alternatives 	statement	kahling
indian or chinese foods only 	statement	kahling
i dont want restaurants 	statement	kahling
i want hawker stalls selling western food 	statement	kahling
recommended hawker centre fish & chips 	statement	kahling
thanks! 	statement	kahling
youve been a great help 	statement	kahling
i would highly recommend you to my friends 	statement	kahling
its been a pleasure chatting with you 	statement	kahling
see you! 	statement	kahling
i want eat food 	statement	chris
raffles place is nice 	statement	chris
